Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
U S A,653498.97,3868.07,9.585,9.241,168.95
Canada,1085617.71,2903.59,15.922,6.937,373.89
Myanmar,682242.34,2825.92,10.006,6.751,241.42
Tanzania Rep,299227.77,2278.9,4.389,5.444,131.3
Afghanistan Tis,123418.81,2029.26,1.81,4.848,60.82
Benin,165281.99,1528.26,2.424,3.651,108.15
U Arab Emts,210073.37,1489.26,3.081,3.558,141.06
Singapore,143257.89,1451.17,2.101,3.467,98.72
U K,40196.18,1322.35,0.59,3.159,30.4
Indonesia,106830.56,1296.11,1.567,3.097,82.42
Mozambique,228799.63,1156.44,3.356,2.763,197.85
Cote D Ivoire,118426.68,1123.03,1.737,2.683,105.45
China P Rp,133074.42,1084.25,1.952,2.59,122.73
Ghana,98816.74,912.16,1.449,2.179,108.33
Guinea Bissau,89808.96,882.07,1.317,2.107,101.82
Turkey,207560.85,878.35,3.044,2.098,236.31
Netherland,37264.99,766.19,0.547,1.83,48.64
Italy,74784.18,753.64,1.097,1.801,99.23
Australia,170418.42,638.97,2.499,1.527,266.71
Chile,68564.75,623.67,1.006,1.49,109.94
Thailand,35849.66,611.3,0.526,1.46,58.64
France,117555.48,551.58,1.724,1.318,213.12
Brazil,109938.21,524.83,1.612,1.254,209.47
Belgium,28936.12,517.4,0.424,1.236,55.93
Ukraine,289199.94,500.26,4.242,1.195,578.1
Sri Lanka Dsr,42101.45,476.25,0.617,1.138,88.4
Russia,175841.61,472.65,2.579,1.129,372.03
Germany,38336.01,455.49,0.562,1.088,84.16
Iran,87501.06,455.2,1.283,1.088,192.23
Iraq,142090.12,447.32,2.084,1.069,317.65
Egypt A Rp,84420.61,394.93,1.238,0.944,213.76
New Zealand,29148.93,394.58,0.428,0.943,73.87
Bangladesh Pr,71441.87,365.75,1.048,0.874,195.33
Nepal,75078.37,332.77,1.101,0.795,225.62
Nigeria,38801.54,323.46,0.569,0.773,119.96
Guinea,41522.25,309.16,0.609,0.739,134.31
South Africa,46945.64,304.54,0.689,0.728,154.15
Vietnam Soc Rep,31928.79,301.81,0.468,0.721,105.79
Togo,32948.36,290.97,0.483,0.695,113.24
Malaysia,13097.2,238.42,0.192,0.57,54.93
Gambia,25266.37,229.28,0.371,0.548,110.2
Argentina,97528.07,223.51,1.43,0.534,436.35
Malawi,47138.82,205.84,0.691,0.492,229.01
Spain,16189.97,185.31,0.237,0.443,87.37
Burkina Faso,23831.59,183.39,0.35,0.438,129.95
Ireland,1721.48,170.84,0.025,0.408,10.08
Congo D. Rep.,9706.0,169.36,0.142,0.405,57.31
Poland,23704.71,168.64,0.348,0.403,140.56
Senegal,19929.66,162.34,0.292,0.388,122.76
Sudan,38211.55,161.48,0.56,0.386,236.63
Ethiopia,37005.06,149.97,0.543,0.358,246.75
