Country Name,Qty(MT),Rs(Crore),% Share(Qty),% Share(Rs),MT per Crore
Australia,3412572.44,9894.64,22.209,15.726,344.89
Canada,2405998.06,7814.08,15.658,12.419,307.91
Myanmar,665536.81,5547.23,4.331,8.816,119.98
Ukraine,3140078.13,4587.62,20.435,7.291,684.47
U S A,767642.65,4142.82,4.996,6.584,185.29
Tanzania Rep,434953.85,3483.52,2.831,5.537,124.86
Cote D Ivoire,212958.07,2223.96,1.386,3.535,95.76
China P Rp,317980.77,1949.98,2.069,3.099,163.07
U K,43725.23,1463.82,0.285,2.327,29.87
Russia,550428.11,1451.48,3.582,2.307,379.22
Mozambique,237366.18,1438.34,1.545,2.286,165.03
Guinea Bissau,120761.98,1405.91,0.786,2.234,85.9
France,408676.79,1132.36,2.66,1.8,360.91
Afghanistan Tis,40823.34,935.3,0.266,1.487,43.65
Pakistan Ir,171862.71,887.7,1.118,1.411,193.6
Benin,79278.18,839.84,0.516,1.335,94.4
Nepal,96757.02,805.24,0.63,1.28,120.16
Lithuania,331630.47,731.19,2.158,1.162,453.55
Ghana,45701.9,553.05,0.297,0.879,82.64
Indonesia,29285.57,524.57,0.191,0.834,55.83
Bulgaria,307971.54,487.77,2.004,0.775,631.39
Sudan,60071.87,472.52,0.391,0.751,127.13
Nigeria,46280.6,458.43,0.301,0.729,100.95
Thailand,27274.64,422.83,0.178,0.672,64.5
Italy,35333.06,400.37,0.23,0.636,88.25
Sri Lanka Dsr,37364.85,396.26,0.243,0.63,94.29
Iraq,147255.92,393.2,0.958,0.625,374.51
Chile,36879.99,368.99,0.24,0.586,99.95
Argentina,171845.24,360.81,1.118,0.573,476.28
Singapore,10826.41,353.53,0.07,0.562,30.62
Senegal,30384.46,344.21,0.198,0.547,88.27
Netherland,17261.34,335.89,0.112,0.534,51.39
New Zealand,28727.95,328.84,0.187,0.523,87.36
Ecuador,14887.3,303.32,0.097,0.482,49.08
Brazil,71348.07,301.93,0.464,0.48,236.31
U Arab Emts,35219.14,299.62,0.229,0.476,117.55
Egypt A Rp,61797.23,290.46,0.402,0.462,212.76
Germany,35340.58,269.64,0.23,0.429,131.07
Gambia,22236.1,266.24,0.145,0.423,83.52
Malawi,46686.55,265.22,0.304,0.422,176.03
Vietnam Soc Rep,20253.45,261.52,0.132,0.416,77.45
Burkina Faso,24025.61,254.99,0.156,0.405,94.22
Kenya,43037.13,241.73,0.28,0.384,178.04
Belgium,23645.21,199.04,0.154,0.316,118.8
Iran,43682.31,181.29,0.284,0.288,240.95
Ethiopia,34617.19,174.83,0.225,0.278,198.0
Malaysia,9479.36,173.6,0.062,0.276,54.6
Guinea,16273.43,171.2,0.106,0.272,95.06
Turkey,20879.74,171.08,0.136,0.272,122.05
Bangladesh Pr,29637.51,168.24,0.193,0.267,176.16
Uganda,19238.03,151.06,0.125,0.24,127.35
Madagascar,25589.74,137.31,0.167,0.218,186.36
